0;Codigo de Barras;No definido;No definido;No definido;;;;;;
120054;ACEITE AEROSOL FRITOLIM 120 CC.;Alimentos;Aceites;Aerosol;278872457302;278872490070;278872522838;;;
220191;ACEITE AEROSOL MAZOLA Manteca 120 CC.;Alimentos;Aceites;Aerosol;278872457302;278872490070;278872522838;;;
220211;ACEITE AEROSOL NATURA 120 CC.;Alimentos;Aceites;Aerosol;278872457302;278872490070;278872522838;;;
120071;ACEITE COCINERO PLUS A/Oleico 1.5 Lt.;Alimentos;Aceites;Girasol;278872457302;278872490070;279991091286;;;
120079;ACEITE COCINERO GIRASOL 900 CC.;Alimentos;Aceites;Girasol;278872457302;278872490070;279991091286;;;
120081;ACEITE COCINERO GIRASOL 1.5 Lt.;Alimentos;Aceites;Girasol;278872457302;278872490070;279991091286;;;
120084;ACEITE LIRA GIRASOL 1.5 Lt.;Alimentos;Aceites;Girasol;278872457302;278872490070;279991091286;;;
220201;ACEITE NATURA GIRASOL 1.5 Lt.;Alimentos;Aceites;Girasol;278872457302;278872490070;279991091286;;;
220202;ACEITE NATURA GIRASOL 3 Lt.;Alimentos;Aceites;Girasol;278872457302;278872490070;279991091286;;;
220203;ACEITE NATURA GIRASOL 5 Lt.;Alimentos;Aceites;Girasol;278872457302;278872490070;279991091286;279989911638;279990501462;279993286742
220205;ACEITE NATURA GIRASOL 900 CC.;Alimentos;Aceites;Girasol;278872457302;278872490070;279991091286;;;
270036;ACEITE CAÑUELAS GIRASOL 900 CC.;Alimentos;Aceites;Girasol;278872457302;278872490070;279991091286;;;
270038;ACEITE CAÑUELAS GIRASOL 1.5 Lt.;Alimentos;Aceites;Girasol;278872457302;278872490070;279991091286;;;
270043;ACEITE PUREZA GIRASOL 1.5 Lt.;Alimentos;Aceites;Girasol;278872457302;278872490070;279991091286;;;
270121;ACEITE CAÑUELAS GIRASOL 5 Lt.;Alimentos;Aceites;Girasol;278872457302;278872490070;279991091286;279989911638;279990501462;279993286742
270131;ACEITE LEGITIMO GIRASOL 900 CC.;Alimentos;Aceites;Girasol;278872457302;278872490070;279991091286;;;
